"","year","location","num_of_records","fetal_deathrate","fetaldeath_staterate","fetal_deaths","infant_deathrate","infantdeath_staterate","infant_deaths","live_births"
"386",1999,"Pend Oreille",1,0,5,0,0,5,0,134
"387",1999,"Pierce",1,6,5,65,5,5,54,9939
"388",1999,"San Juan",1,NA,5,NA,0,5,0,100
"389",1999,"Skagit",1,NA,5,NA,NA,5,NA,1359
"390",1999,"Skamania",1,NA,5,NA,NA,5,NA,134
"391",1999,"Snohomish",1,6,5,58,5,5,44,8496
"392",1999,"Spokane",1,4,5,27,4,5,25,5497
"393",1999,"Stevens",1,NA,5,NA,NA,5,NA,456
"394",1999,"Thurston",1,NA,5,13,NA,5,NA,2478
"395",1999,"Wahkiakum",1,NA,5,NA,0,5,0,42
"396",1999,"Walla Walla",1,NA,5,10,NA,5,NA,713
"397",1999,"Whatcom",1,NA,5,NA,NA,5,NA,1995
"398",1999,"Whitman",1,NA,5,NA,NA,5,NA,422
"399",1999,"Yakima",1,5,5,24,7,5,30,4237
"400",2000,"State Total",1,5,5,437,5,5,423,81004
"401",2000,"Adams",1,NA,5,NA,NA,5,NA,334
"402",2000,"Asotin",1,0,5,0,NA,5,NA,252
"403",2000,"Benton",1,NA,5,13,9,5,19,2079
"404",2000,"Chelan",1,NA,5,NA,NA,5,NA,981
"405",2000,"Clallam",1,NA,5,NA,NA,5,NA,622
"406",2000,"Clark",1,5,5,32,3,5,19,5411
"407",2000,"Columbia",1,0,5,0,0,5,0,34
"408",2000,"Cowlitz",1,NA,5,NA,NA,5,11,1289
"409",2000,"Douglas",1,NA,5,NA,NA,5,NA,455
"410",2000,"Ferry",1,0,5,0,0,5,0,69
"411",2000,"Franklin",1,NA,5,10,NA,5,NA,1096
"412",2000,"Garfield",1,0,5,0,0,5,0,23
"413",2000,"Grant",1,NA,5,NA,NA,5,NA,1432
"414",2000,"Grays Harbor",1,NA,5,NA,NA,5,NA,793
"415",2000,"Island",1,NA,5,NA,NA,5,NA,959
"416",2000,"Jefferson",1,NA,5,NA,NA,5,NA,211
"417",2000,"King",1,5,5,127,4,5,102,22487
"418",2000,"Kitsap",1,NA,5,16,6,5,19,3108
"419",2000,"Kittitas",1,NA,5,NA,NA,5,NA,368
"420",2000,"Klickitat",1,0,5,0,NA,5,NA,254
"421",2000,"Lewis",1,NA,5,12,NA,5,NA,869
"422",2000,"Lincoln",1,0,5,0,NA,5,NA,99
"423",2000,"Mason",1,NA,5,NA,NA,5,NA,560
"424",2000,"Okanogan",1,NA,5,NA,NA,5,NA,506
"425",2000,"Pacific",1,NA,5,NA,NA,5,NA,195
"426",2000,"Pend Oreille",1,0,5,0,NA,5,NA,110
"427",2000,"Pierce",1,4,5,50,6,5,62,10174
"428",2000,"San Juan",1,0,5,0,0,5,0,92
"429",2000,"Skagit",1,NA,5,NA,NA,5,11,1396
"430",2000,"Skamania",1,0,5,0,NA,5,NA,116
"431",2000,"Snohomish",1,4,5,35,4,5,36,8545
"432",2000,"Spokane",1,5,5,30,4,5,28,5666
