StatOverview_Full_Data_data,,,,,,,,,,,,,,,
Year,FDAnnotate,FDSuppress,Geography,ID Annotate,ID Rate Lower CI,ID Rate Upper CI,ID Suppress,Number of Records,Fetal Death Rate,Fetal Death State Rate,Fetal Deaths,Infant Death Rate,Infant Death State Rate,Infant Deaths,Live Births
1997,,,Asotin,NR,,,**,1,0,5.9,0,,5.6,,284
1997,NR,,Benton,NR,,,,1,,5.9,11,,5.6,15,2025
1997,NR,**,Chelan,NR,,,**,1,,5.9,,,5.6,,979
1997,NR,**,Clallam,NR,,,**,1,,5.9,,,5.6,,646
1997,,,Clark,,2.6,6.5,,1,5.3,5.9,26,4.2,5.6,21,4947
1997,,,Columbia,,,,,1,0,5.9,0,0,5.6,0,40
1997,NR,**,Cowlitz,NR,,,,1,,5.9,,,5.6,10,1173
1997,NR,**,Douglas,,,,,1,,5.9,,0,5.6,0,436
1997,NR,**,Ferry,NR,,,**,1,,5.9,,,5.6,,75
1997,NR,**,Franklin,NR,,,**,1,,5.9,,,5.6,,972
1997,NR,**,Garfield,,,,,1,,5.9,,0,5.6,0,13
1997,NR,**,Grant,NR,,,**,1,,5.9,,,5.6,,1387
1997,NR,**,Grays Harbor,NR,,,**,1,,5.9,,,5.6,,848
1997,NR,**,Island,NR,,,**,1,,5.9,,,5.6,,953
1997,NR,**,Jefferson,NR,,,**,1,,5.9,,,5.6,,214
1997,,,King,,4.3,6.3,,1,6.3,5.9,136,5.2,5.6,113,21646
1997,,,Kitsap,,3.5,9.1,,1,5.8,5.9,19,5.8,5.6,19,3252
1997,NR,**,Kittitas,NR,,,**,1,,5.9,,,5.6,,307
1997,NR,**,Klickitat,NR,,,**,1,,5.9,,,5.6,,236
1997,NR,**,Lewis,NR,,,**,1,,5.9,,,5.6,,878
1997,NR,**,Lincoln,NR,,,**,1,,5.9,,,5.6,,131
1997,NR,**,Mason,NR,,,**,1,,5.9,,,5.6,,521
1997,NR,**,Okanogan,NR,,,**,1,,5.9,,,5.6,,522
1997,NR,**,Pacific,,,,,1,,5.9,,0,5.6,0,215
1997,NR,**,Pend Oreille,,,,,1,,5.9,,0,5.6,0,124
1997,,,Pierce,,4.8,8.1,,1,5.3,5.9,52,6.3,5.6,61,9730
1997,,,San Juan,,,,,1,0,5.9,0,0,5.6,0,113
1997,NR,**,Skagit,NR,,,**,1,,5.9,,,5.6,,1336
1997,,,Skamania,,,,,1,0,5.9,0,0,5.6,0,91
1997,,,Snohomish,,4.5,8,,1,6.3,5.9,51,6,5.6,49,8110
1997,,,Spokane,,4.4,8.8,,1,5.1,5.9,28,6.3,5.6,35,5530
1997,NR,**,Stevens,NR,,,**,1,,5.9,,,5.6,,453
1997,NR,,Thurston,NR,,,,1,,5.9,15,,5.6,10,2422
1997,NR,**,Wahkiakum,NR,,,**,1,,5.9,,,5.6,,39
1997,NR,**,Walla Walla,NR,,,**,1,,5.9,,,5.6,,675
1997,NR,,Whatcom,NR,,,**,1,,5.9,10,,5.6,,1945
1997,,,Whitman,NR,,,**,1,0,5.9,0,,5.6,,392
1997,,,Yakima,,4.4,9.7,,1,6,5.9,25,6.7,5.6,28,4189
1998,,,State Total,,5.2,6.2,,1,5.9,5.9,469,5.7,5.7,452,79640
1998,,,Adams,NR,,,**,1,0,5.9,0,,5.7,,332
1998,NR,**,Asotin,NR,,,**,1,,5.9,,,5.7,,280
1998,NR,,Benton,NR,,,,1,,5.9,11,,5.7,11,2053
1998,NR,**,Chelan,NR,,,**,1,,5.9,,,5.7,,1032
1998,NR,**,Clallam,NR,,,**,1,,5.9,,,5.7,,687
1998,,,Clark,,3.9,8.3,,1,5.3,5.9,27,5.8,5.7,30,5142
1998,,,Columbia,,,,,1,0,5.9,0,0,5.7,0,48
1998,NR,**,Cowlitz,NR,,,**,1,,5.9,,,5.7,,1195
1998,NR,**,Douglas,NR,,,**,1,,5.9,,,5.7,,445
1998,NR,**,Ferry,NR,,,**,1,,5.9,,,5.7,,78
1998,NR,**,Franklin,NR,,,**,1,,5.9,,,5.7,,1035
1998,,,Garfield,,,,,1,0,5.9,0,0,5.7,0,16
1998,NR,,Grant,NR,,,**,1,,5.9,14,,5.7,,1334
1998,NR,**,Grays Harbor,NR,,,**,1,,5.9,,,5.7,,882
1998,NR,**,Island,NR,,,**,1,,5.9,,,5.7,,948
1998,,,Jefferson,,,,,1,0,5.9,0,0,5.7,0,207
1998,,,King,,4.1,6,,1,5.8,5.9,129,5,5.7,111,22212
1998,,,Kitsap,NR,,,,1,8.3,5.9,25,,5.7,12,3004
1998,NR,**,Kittitas,NR,,,**,1,,5.9,,,5.7,,374
1998,NR,**,Klickitat,,,,,1,,5.9,,0,5.7,0,234
1998,NR,**,Lewis,NR,,,**,1,,5.9,,,5.7,,901
1998,NR,**,Lincoln,NR,,,**,1,,5.9,,,5.7,,110
1998,NR,**,Mason,NR,,,**,1,,5.9,,,5.7,,598
1998,NR,**,Okanogan,NR,,,**,1,,5.9,,,5.7,,545
1998,NR,**,Pacific,,,,,1,,5.9,,0,5.7,0,211
1998,,,Pend Oreille,NR,,,**,1,0,5.9,0,,5.7,,129
1998,,,Pierce,,5,8.4,,1,6.1,5.9,60,6.5,5.7,64,9780
